2026-07-01 20:04:03.195 | INFO     | __main__:main:108 - นำ Best Params มาทดสอบเสมือนจริงด้วย Walk-Forward...
2026-07-01 20:04:03.195 | INFO     | src.backtester.validator:evaluate:15 - เริ่มทำ Walk-Forward Validation จำนวน 5 Folds...
2026-07-01 20:08:59.468 | INFO     | __main__:main:15 - ==================================================
2026-07-01 20:08:59.468 | INFO     | __main__:main:16 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-07-01 20:08:59.468 | INFO     | __main__:main:17 - ==================================================
2026-07-01 20:08:59.468 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:08:59.468 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:09:00.850 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:09:00.850 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:09:01.216 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-07-01 20:09:01.220 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-02 to 2026-07-01
2026-07-01 20:09:01.596 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
